"","year","carrier","salida","llegada","dif"
"81",2013,"DL",06:00:00,06:59:00,59
"82",2013,"AA",07:00:00,07:00:00,0
"83",2013,"B6",07:00:00,07:00:00,0
"84",2013,"VX",07:00:00,07:05:00,5
"85",2013,"DL",07:00:00,07:00:00,0
"86",2013,"UA",06:00:00,06:35:00,35
"87",2013,"EV",06:00:00,06:25:00,25
"88",2013,"AA",06:00:00,06:59:00,59
"89",2013,"UA",06:00:00,06:45:00,45
"90",2013,"B6",07:00:00,07:05:00,5
"91",2013,"UA",07:00:00,07:05:00,5
"92",2013,"WN",07:00:00,07:05:00,5
"93",2013,"UA",07:00:00,07:05:00,5
"94",2013,"UA",07:00:00,07:05:00,5
"95",2013,"UA",07:00:00,07:05:00,5
"96",2013,"MQ",07:00:00,07:10:00,10
"97",2013,"UA",07:00:00,07:00:00,0
"98",2013,"EV",06:00:00,06:34:00,34
"99",2013,"FL",07:00:00,07:20:00,20
"100",2013,"UA",07:00:00,07:15:00,15
"101",2013,"DL",07:00:00,07:20:00,20
"102",2013,"AA",07:00:00,07:15:00,15
"103",2013,"AS",07:00:00,07:25:00,25
"104",2013,"UA",07:00:00,07:20:00,20
"105",2013,"AA",07:00:00,07:30:00,30
"106",2013,"AA",07:00:00,07:30:00,30
"107",2013,"AA",07:00:00,07:15:00,15
"108",2013,"MQ",07:00:00,07:05:00,5
"109",2013,"DL",07:00:00,07:30:00,30
"110",2013,"B6",07:00:00,07:29:00,29
"111",2013,"UA",07:00:00,07:15:00,15
"112",2013,"B6",07:00:00,07:31:00,31
"113",2013,"VX",07:00:00,07:30:00,30
"114",2013,"EV",06:00:00,06:30:00,30
"115",2013,"B6",07:00:00,07:10:00,10
"116",2013,"UA",07:00:00,07:30:00,30
"117",2013,"DL",07:00:00,07:40:00,40
"118",2013,"B6",07:00:00,07:35:00,35
"119",2013,"AA",07:00:00,07:30:00,30
"120",2013,"UA",07:00:00,07:40:00,40
"121",2013,"AA",07:00:00,07:45:00,45
"122",2013,"UA",07:00:00,07:40:00,40
"123",2013,"AA",07:00:00,07:45:00,45
"124",2013,"EV",07:00:00,07:40:00,40
"125",2013,"UA",07:00:00,07:45:00,45
"126",2013,"DL",07:00:00,07:53:00,53
"127",2013,"AA",07:00:00,07:55:00,55
"128",2013,"B6",07:00:00,07:57:00,57
"129",2013,"B6",08:00:00,08:00:00,0
"130",2013,"B6",07:00:00,07:05:00,5
"131",2013,"WN",07:00:00,07:55:00,55
"132",2013,"DL",07:00:00,07:59:00,59
"133",2013,"UA",07:00:00,07:45:00,45
"134",2013,"US",07:00:00,07:59:00,59
"135",2013,"UA",08:00:00,08:00:00,0
"136",2013,"DL",08:00:00,08:00:00,0
"137",2013,"EV",08:00:00,08:03:00,3
"138",2013,"EV",07:00:00,07:59:00,59
"139",2013,"9E",08:00:00,08:05:00,5
"140",2013,"DL",08:00:00,08:10:00,10
"141",2013,"EV",07:00:00,07:59:00,59
"142",2013,"EV",06:00:00,06:30:00,30
"143",2013,"FL",08:00:00,08:10:00,10
"144",2013,"AA",08:00:00,08:10:00,10
"145",2013,"AA",08:00:00,08:10:00,10
"146",2013,"UA",07:00:00,07:59:00,59
"147",2013,"WN",08:00:00,08:00:00,0
"148",2013,"DL",08:00:00,08:15:00,15
"149",2013,"DL",08:00:00,08:10:00,10
"150",2013,"US",08:00:00,08:15:00,15
"151",2013,"9E",08:00:00,08:15:00,15
"152",2013,"B6",08:00:00,08:12:00,12
"153",2013,"DL",08:00:00,08:17:00,17
"154",2013,"DL",08:00:00,08:15:00,15
"155",2013,"MQ",08:00:00,08:15:00,15
"156",2013,"EV",07:00:00,07:59:00,59
"157",2013,"US",06:00:00,06:15:00,15
"158",2013,"EV",07:00:00,07:20:00,20
"159",2013,"EV",07:00:00,07:05:00,5
"160",2013,"9E",08:00:00,08:20:00,20
"161",2013,"B6",08:00:00,08:05:00,5
"162",2013,"EV",06:00:00,06:30:00,30
"163",2013,"EV",08:00:00,08:34:00,34
"164",2013,"EV",08:00:00,08:27:00,27
"165",2013,"9E",08:00:00,08:20:00,20
"166",2013,"MQ",08:00:00,08:20:00,20
"167",2013,"UA",08:00:00,08:30:00,30
"168",2013,"UA",07:00:00,07:59:00,59
"169",2013,"EV",08:00:00,08:03:00,3
"170",2013,"AA",08:00:00,08:30:00,30
"171",2013,"B6",07:00:00,07:47:00,47
"172",2013,"WN",08:00:00,08:30:00,30
"173",2013,"DL",08:00:00,08:30:00,30
"174",2013,"F9",08:00:00,08:30:00,30
"175",2013,"AA",08:00:00,08:30:00,30
"176",2013,"B6",08:00:00,08:28:00,28
"177",2013,"9E",08:00:00,08:30:00,30
"178",2013,"B6",08:00:00,08:19:00,19
"179",2013,"UA",08:00:00,08:40:00,40
"180",2013,"UA",08:00:00,08:30:00,30
"181",2013,"9E",08:00:00,08:40:00,40
"182",2013,"B6",08:00:00,08:40:00,40
"183",2013,"UA",08:00:00,08:34:00,34
"184",2013,"UA",08:00:00,08:30:00,30
"185",2013,"US",08:00:00,08:45:00,45
"186",2013,"UA",08:00:00,08:35:00,35
"187",2013,"AA",08:00:00,08:35:00,35
"188",2013,"AA",08:00:00,08:45:00,45
"189",2013,"EV",08:00:00,08:40:00,40
"190",2013,"9E",08:00:00,08:45:00,45
"191",2013,"B6",08:00:00,08:07:00,7
"192",2013,"B6",08:00:00,08:55:00,55
"193",2013,"DL",08:00:00,08:59:00,59
"194",2013,"EV",08:00:00,08:55:00,55
"195",2013,"9E",08:00:00,08:55:00,55
"196",2013,"AA",09:00:00,09:00:00,0
"197",2013,"B6",09:00:00,09:00:00,0
"198",2013,"UA",08:00:00,08:57:00,57
"199",2013,"UA",09:00:00,09:00:00,0
"200",2013,"DL",09:00:00,09:00:00,0
"201",2013,"AA",09:00:00,09:00:00,0
"202",2013,"B6",08:00:00,08:25:00,25
"203",2013,"US",06:00:00,06:30:00,30
"204",2013,"UA",09:00:00,09:00:00,0
"205",2013,"DL",09:00:00,09:00:00,0
"206",2013,"DL",09:00:00,09:00:00,0
"207",2013,"HA",09:00:00,09:00:00,0
"208",2013,"VX",09:00:00,09:05:00,5
"209",2013,"UA",09:00:00,09:00:00,0
"210",2013,"UA",09:00:00,09:04:00,4
"211",2013,"UA",09:00:00,09:03:00,3
"212",2013,"UA",09:00:00,09:00:00,0
"213",2013,"EV",09:00:00,09:08:00,8
"214",2013,"UA",08:00:00,08:57:00,57
"215",2013,"MQ",09:00:00,09:05:00,5
"216",2013,"UA",08:00:00,08:59:00,59
"217",2013,"MQ",08:00:00,08:50:00,50
"218",2013,"EV",08:00:00,08:50:00,50
"219",2013,"DL",08:00:00,08:27:00,27
"220",2013,"9E",07:00:00,07:50:00,50
"221",2013,"UA",09:00:00,09:06:00,6
"222",2013,"B6",09:00:00,09:15:00,15
"223",2013,"UA",09:00:00,09:08:00,8
"224",2013,"EV",08:00:00,08:43:00,43
"225",2013,"UA",07:00:00,07:00:00,0
"226",2013,"AA",09:00:00,09:20:00,20
"227",2013,"DL",09:00:00,09:05:00,5
"228",2013,"AA",09:00:00,09:20:00,20
"229",2013,"EV",09:00:00,09:24:00,24
"230",2013,"B6",09:00:00,09:05:00,5
"231",2013,"B6",09:00:00,09:28:00,28
"232",2013,"WN",09:00:00,09:25:00,25
"233",2013,"EV",08:00:00,08:22:00,22
"234",2013,"B6",09:00:00,09:30:00,30
"235",2013,"EV",09:00:00,09:29:00,29
"236",2013,"B6",09:00:00,09:21:00,21
"237",2013,"MQ",08:00:00,08:10:00,10
"238",2013,"B6",09:00:00,09:35:00,35
"239",2013,"B6",09:00:00,09:29:00,29
"240",2013,"VX",09:00:00,09:35:00,35
"241",2013,"AA",09:00:00,09:40:00,40
"242",2013,"EV",08:00:00,08:10:00,10
"243",2013,"9E",09:00:00,09:30:00,30
"244",2013,"AA",09:00:00,09:45:00,45
"245",2013,"EV",09:00:00,09:29:00,29
"246",2013,"B6",09:00:00,09:50:00,50
"247",2013,"UA",09:00:00,09:20:00,20
"248",2013,"B6",09:00:00,09:35:00,35
"249",2013,"WN",09:00:00,09:50:00,50
"250",2013,"9E",09:00:00,09:50:00,50
"251",2013,"B6",10:00:00,10:00:00,0
"252",2013,"B6",09:00:00,09:15:00,15
"253",2013,"MQ",09:00:00,09:55:00,55
"254",2013,"DL",10:00:00,10:00:00,0
"255",2013,"EV",10:00:00,10:06:00,6
"256",2013,"B6",09:00:00,09:59:00,59
"257",2013,"WN",09:00:00,09:45:00,45
"258",2013,"DL",10:00:00,10:00:00,0
"259",2013,"UA",09:00:00,09:58:00,58
"260",2013,"UA",09:00:00,09:55:00,55
"261",2013,"EV",08:00:00,08:58:00,58
"262",2013,"UA",10:00:00,10:00:00,0
"263",2013,"DL",10:00:00,10:05:00,5
"264",2013,"US",09:00:00,09:59:00,59
"265",2013,"UA",10:00:00,10:00:00,0
"266",2013,"MQ",08:00:00,08:40:00,40
"267",2013,"DL",09:00:00,09:00:00,0
"268",2013,"EV",10:00:00,10:06:00,6
"269",2013,"US",10:00:00,10:15:00,15
"270",2013,"US",10:00:00,10:15:00,15
"271",2013,"AA",10:00:00,10:20:00,20
"272",2013,"UA",10:00:00,10:15:00,15
"273",2013,"EV",08:00:00,08:29:00,29
"274",2013,"AA",10:00:00,10:30:00,30
"275",2013,"VX",10:00:00,10:30:00,30
"276",2013,"DL",10:00:00,10:30:00,30
"277",2013,"EV",10:00:00,10:32:00,32
"278",2013,"AA",10:00:00,10:30:00,30
"279",2013,"MQ",09:00:00,09:59:00,59
"280",2013,"B6",10:00:00,10:31:00,31
"281",2013,"UA",10:00:00,10:00:00,0
"282",2013,"US",10:00:00,10:00:00,0
"283",2013,"DL",10:00:00,10:45:00,45
"284",2013,"MQ",10:00:00,10:50:00,50
"285",2013,"MQ",08:00:00,08:35:00,35
"286",2013,"UA",10:00:00,10:43:00,43
"287",2013,"US",10:00:00,10:15:00,15
"288",2013,"MQ",10:00:00,10:10:00,10
"289",2013,"B6",10:00:00,10:39:00,39
"290",2013,"UA",10:00:00,10:56:00,56
"291",2013,"UA",10:00:00,10:50:00,50
"292",2013,"DL",10:00:00,10:16:00,16
"293",2013,"UA",10:00:00,10:52:00,52
"294",2013,"EV",09:00:00,09:57:00,57
"295",2013,"B6",10:00:00,10:59:00,59
"296",2013,"DL",11:00:00,11:00:00,0
"297",2013,"DL",10:00:00,10:21:00,21
"298",2013,"UA",11:00:00,11:00:00,0
"299",2013,"DL",11:00:00,11:00:00,0
"300",2013,"US",11:00:00,11:00:00,0
"301",2013,"UA",11:00:00,11:00:00,0
"302",2013,"MQ",11:00:00,11:00:00,0
"303",2013,"B6",10:00:00,10:50:00,50
"304",2013,"US",11:00:00,11:00:00,0
"305",2013,"EV",10:00:00,10:42:00,42
"306",2013,"B6",11:00:00,11:10:00,10
"307",2013,"US",10:00:00,10:00:00,0
"308",2013,"DL",11:00:00,11:14:00,14
"309",2013,"AA",11:00:00,11:15:00,15
"310",2013,"EV",10:00:00,10:15:00,15
"311",2013,"B6",11:00:00,11:29:00,29
"312",2013,"DL",11:00:00,11:25:00,25
"313",2013,"DL",11:00:00,11:30:00,30
"314",2013,"AA",11:00:00,11:25:00,25
"315",2013,"B6",11:00:00,11:25:00,25
"316",2013,"WN",11:00:00,11:30:00,30
"317",2013,"DL",11:00:00,11:34:00,34
"318",2013,"EV",11:00:00,11:33:00,33
"319",2013,"B6",11:00:00,11:29:00,29
"320",2013,"UA",11:00:00,11:30:00,30
"321",2013,"AA",11:00:00,11:40:00,40
"322",2013,"MQ",10:00:00,10:30:00,30
"323",2013,"UA",11:00:00,11:19:00,19
"324",2013,"UA",11:00:00,11:30:00,30
"325",2013,"FL",11:00:00,11:45:00,45
"326",2013,"9E",09:00:00,09:55:00,55
"327",2013,"DL",11:00:00,11:40:00,40
"328",2013,"WN",11:00:00,11:00:00,0
"329",2013,"UA",11:00:00,11:44:00,44
"330",2013,"DL",11:00:00,11:45:00,45
"331",2013,"WN",11:00:00,11:05:00,5
"332",2013,"MQ",11:00:00,11:15:00,15
"333",2013,"B6",11:00:00,11:55:00,55
"334",2013,"UA",12:00:00,12:00:00,0
"335",2013,"9E",11:00:00,11:55:00,55
"336",2013,"US",12:00:00,12:00:00,0
"337",2013,"MQ",12:00:00,12:00:00,0
"338",2013,"B6",08:00:00,08:10:00,10
"339",2013,"WN",12:00:00,12:05:00,5
"340",2013,"B6",12:00:00,12:10:00,10
"341",2013,"US",12:00:00,12:00:00,0
"342",2013,"WN",12:00:00,12:10:00,10
"343",2013,"DL",11:00:00,11:45:00,45
"344",2013,"EV",11:00:00,11:15:00,15
"345",2013,"MQ",11:00:00,11:35:00,35
"346",2013,"MQ",12:00:00,12:00:00,0
"347",2013,"B6",12:00:00,12:20:00,20
"348",2013,"AA",12:00:00,12:00:00,0
"349",2013,"US",10:00:00,10:00:00,0
"350",2013,"MQ",12:00:00,12:05:00,5
"351",2013,"UA",12:00:00,12:17:00,17
"352",2013,"UA",12:00:00,12:21:00,21
"353",2013,"DL",11:00:00,11:00:00,0
"354",2013,"EV",11:00:00,11:44:00,44
"355",2013,"DL",12:00:00,12:40:00,40
"356",2013,"DL",12:00:00,12:35:00,35
"357",2013,"AA",12:00:00,12:45:00,45
"358",2013,"MQ",11:00:00,11:50:00,50
"359",2013,"UA",12:00:00,12:35:00,35
"360",2013,"DL",12:00:00,12:00:00,0
"361",2013,"UA",11:00:00,11:14:00,14
"362",2013,"DL",12:00:00,12:50:00,50
"363",2013,"UA",12:00:00,12:55:00,55
"364",2013,"WN",12:00:00,12:50:00,50
"365",2013,"9E",13:00:00,13:00:00,0
"366",2013,"WN",13:00:00,13:00:00,0
"367",2013,"UA",12:00:00,12:53:00,53
"368",2013,"US",12:00:00,12:59:00,59
"369",2013,"EV",12:00:00,12:50:00,50
"370",2013,"9E",13:00:00,13:00:00,0
"371",2013,"AA",12:00:00,12:40:00,40
"372",2013,"EV",13:00:00,13:00:00,0
"373",2013,"US",13:00:00,13:00:00,0
"374",2013,"WN",12:00:00,12:30:00,30
"375",2013,"EV",12:00:00,12:15:00,15
"376",2013,"US",09:00:00,09:00:00,0
"377",2013,"EV",11:00:00,11:00:00,0
"378",2013,"B6",09:00:00,09:05:00,5
"379",2013,"EV",13:00:00,13:15:00,15
"380",2013,"FL",13:00:00,13:08:00,8
"381",2013,"B6",13:00:00,13:00:00,0
"382",2013,"VX",13:00:00,13:20:00,20
"383",2013,"UA",13:00:00,13:17:00,17
"384",2013,"MQ",12:00:00,12:20:00,20
"385",2013,"AA",12:00:00,12:45:00,45
"386",2013,"B6",12:00:00,12:50:00,50
"387",2013,"US",13:00:00,13:15:00,15
"388",2013,"DL",13:00:00,13:30:00,30
"389",2013,"B6",13:00:00,13:22:00,22
"390",2013,"B6",13:00:00,13:25:00,25
"391",2013,"B6",12:00:00,12:59:00,59
"392",2013,"EV",12:00:00,12:00:00,0
"393",2013,"B6",13:00:00,13:30:00,30
"394",2013,"EV",13:00:00,13:29:00,29
"395",2013,"EV",11:00:00,11:20:00,20
"396",2013,"AA",13:00:00,13:45:00,45
"397",2013,"B6",13:00:00,13:45:00,45
"398",2013,"UA",12:00:00,12:59:00,59
"399",2013,"EV",13:00:00,13:20:00,20
"400",2013,"UA",13:00:00,13:41:00,41
"401",2013,"UA",12:00:00,12:51:00,51
"402",2013,"DL",13:00:00,13:55:00,55
"403",2013,"EV",13:00:00,13:00:00,0
"404",2013,"UA",13:00:00,13:45:00,45
"405",2013,"EV",13:00:00,13:59:00,59
"406",2013,"B6",13:00:00,13:45:00,45
"407",2013,"MQ",13:00:00,13:50:00,50
"408",2013,"UA",11:00:00,11:16:00,16
"409",2013,"DL",14:00:00,14:00:00,0
"410",2013,"B6",14:00:00,14:05:00,5
"411",2013,"DL",13:00:00,13:50:00,50
"412",2013,"EV",10:00:00,10:50:00,50
"413",2013,"MQ",12:00:00,12:35:00,35
"414",2013,"UA",14:00:00,14:14:00,14
"415",2013,"FL",14:00:00,14:16:00,16
"416",2013,"DL",14:00:00,14:15:00,15
"417",2013,"UA",14:00:00,14:18:00,18
"418",2013,"B6",13:00:00,13:45:00,45
"419",2013,"MQ",14:00:00,14:20:00,20
"420",2013,"MQ",14:00:00,14:20:00,20
"421",2013,"EV",13:00:00,13:15:00,15
"422",2013,"AA",13:00:00,13:45:00,45
"423",2013,"B6",12:00:00,12:20:00,20
"424",2013,"UA",14:00:00,14:29:00,29
"425",2013,"US",14:00:00,14:00:00,0
"426",2013,"DL",14:00:00,14:30:00,30
"427",2013,"UA",14:00:00,14:20:00,20
"428",2013,"AA",14:00:00,14:30:00,30
"429",2013,"UA",13:00:00,13:20:00,20
"430",2013,"DL",14:00:00,14:35:00,35
"431",2013,"DL",14:00:00,14:35:00,35
"432",2013,"US",14:00:00,14:00:00,0
"433",2013,"UA",14:00:00,14:39:00,39
"434",2013,"UA",14:00:00,14:40:00,40
"435",2013,"UA",14:00:00,14:40:00,40
"436",2013,"UA",14:00:00,14:40:00,40
"437",2013,"DL",13:00:00,13:00:00,0
"438",2013,"B6",13:00:00,13:24:00,24
"439",2013,"UA",14:00:00,14:44:00,44
"440",2013,"B6",14:00:00,14:44:00,44
"441",2013,"US",14:00:00,14:45:00,45
"442",2013,"MQ",14:00:00,14:50:00,50
"443",2013,"MQ",14:00:00,14:50:00,50
"444",2013,"AA",14:00:00,14:50:00,50
"445",2013,"B6",14:00:00,14:15:00,15
"446",2013,"B6",13:00:00,13:03:00,3
"447",2013,"9E",14:00:00,14:45:00,45
"448",2013,"UA",13:00:00,13:29:00,29
"449",2013,"AA",13:00:00,13:30:00,30
"450",2013,"AA",14:00:00,14:55:00,55
"451",2013,"AA",14:00:00,14:55:00,55
"452",2013,"B6",14:00:00,14:45:00,45
"453",2013,"DL",15:00:00,15:00:00,0
"454",2013,"UA",14:00:00,14:55:00,55
"455",2013,"MQ",15:00:00,15:00:00,0
"456",2013,"US",15:00:00,15:00:00,0
"457",2013,"B6",14:00:00,14:59:00,59
"458",2013,"UA",15:00:00,15:00:00,0
"459",2013,"DL",14:00:00,14:52:00,52
"460",2013,"9E",15:00:00,15:05:00,5
"461",2013,"MQ",14:00:00,14:45:00,45
"462",2013,"UA",15:00:00,15:05:00,5
"463",2013,"AA",15:00:00,15:05:00,5
"464",2013,"EV",13:00:00,13:29:00,29
"465",2013,"MQ",15:00:00,15:10:00,10
"466",2013,"DL",15:00:00,15:00:00,0
"467",2013,"WN",13:00:00,13:30:00,30
"468",2013,"UA",15:00:00,15:10:00,10
"469",2013,"WN",13:00:00,13:55:00,55
"470",2013,"UA",12:00:00,12:59:00,59
"471",2013,"UA",15:00:00,15:06:00,6
"472",2013,"UA",14:00:00,14:45:00,45
"473",2013,"9E",15:00:00,15:20:00,20
"474",2013,"AA",15:00:00,15:30:00,30
"475",2013,"AA",15:00:00,15:30:00,30
"476",2013,"AA",15:00:00,15:30:00,30
"477",2013,"UA",14:00:00,14:57:00,57
"478",2013,"UA",15:00:00,15:06:00,6
"479",2013,"DL",15:00:00,15:20:00,20
"480",2013,"MQ",15:00:00,15:15:00,15
"481",2013,"AA",15:00:00,15:35:00,35
"482",2013,"9E",15:00:00,15:40:00,40
"483",2013,"MQ",15:00:00,15:10:00,10
"484",2013,"EV",15:00:00,15:07:00,7
"485",2013,"B6",14:00:00,14:35:00,35
"486",2013,"9E",15:00:00,15:50:00,50
"487",2013,"UA",15:00:00,15:15:00,15
"488",2013,"DL",15:00:00,15:45:00,45
"489",2013,"B6",14:00:00,14:59:00,59
"490",2013,"AA",15:00:00,15:45:00,45
"491",2013,"B6",14:00:00,14:59:00,59
"492",2013,"UA",15:00:00,15:49:00,49
"493",2013,"AA",15:00:00,15:50:00,50
"494",2013,"9E",15:00:00,15:30:00,30
"495",2013,"US",15:00:00,15:30:00,30
"496",2013,"UA",15:00:00,15:40:00,40
"497",2013,"DL",15:00:00,15:55:00,55
"498",2013,"B6",13:00:00,13:35:00,35
"499",2013,"MQ",16:00:00,16:00:00,0
"500",2013,"US",16:00:00,16:00:00,0
"501",2013,"DL",15:00:00,15:48:00,48
"502",2013,"MQ",15:00:00,15:30:00,30
"503",2013,"B6",15:00:00,15:17:00,17
"504",2013,"DL",16:00:00,16:00:00,0
"505",2013,"UA",15:00:00,15:55:00,55
"506",2013,"9E",16:00:00,16:05:00,5
"507",2013,"9E",15:00:00,15:40:00,40
"508",2013,"DL",16:00:00,16:05:00,5
"509",2013,"EV",15:00:00,15:35:00,35
"510",2013,"B6",15:00:00,15:55:00,55
"511",2013,"UA",15:00:00,15:29:00,29
"512",2013,"DL",16:00:00,16:00:00,0
"513",2013,"DL",16:00:00,16:05:00,5
"514",2013,"US",13:00:00,13:50:00,50
"515",2013,"DL",16:00:00,16:00:00,0
"516",2013,"AA",16:00:00,16:00:00,0
"517",2013,"MQ",16:00:00,16:05:00,5
"518",2013,"UA",15:00:00,15:45:00,45
"519",2013,"9E",16:00:00,16:10:00,10
"520",2013,"AA",16:00:00,16:00:00,0
"521",2013,"B6",16:00:00,16:00:00,0
"522",2013,"DL",15:00:00,15:40:00,40
"523",2013,"UA",15:00:00,15:45:00,45
"524",2013,"MQ",15:00:00,15:30:00,30
"525",2013,"DL",16:00:00,16:10:00,10
"526",2013,"DL",15:00:00,15:50:00,50
"527",2013,"FL",16:00:00,16:00:00,0
"528",2013,"EV",14:00:00,14:15:00,15
"529",2013,"9E",15:00:00,15:50:00,50
"530",2013,"DL",16:00:00,16:00:00,0
"531",2013,"AA",16:00:00,16:10:00,10
"532",2013,"EV",15:00:00,15:04:00,4
"533",2013,"US",16:00:00,16:00:00,0
"534",2013,"MQ",15:00:00,15:25:00,25
"535",2013,"MQ",16:00:00,16:25:00,25
"536",2013,"EV",14:00:00,14:25:00,25
"537",2013,"UA",16:00:00,16:20:00,20
"538",2013,"B6",16:00:00,16:25:00,25
"539",2013,"EV",16:00:00,16:19:00,19
"540",2013,"US",16:00:00,16:20:00,20
"541",2013,"9E",15:00:00,15:45:00,45
"542",2013,"UA",16:00:00,16:00:00,0
"543",2013,"9E",16:00:00,16:15:00,15
"544",2013,"B6",16:00:00,16:35:00,35
"545",2013,"UA",16:00:00,16:30:00,30
"546",2013,"B6",16:00:00,16:35:00,35
"547",2013,"UA",16:00:00,16:35:00,35
"548",2013,"EV",16:00:00,16:35:00,35
"549",2013,"MQ",15:00:00,15:10:00,10
"550",2013,"9E",16:00:00,16:45:00,45
"551",2013,"YV",16:00:00,16:02:00,2
"552",2013,"DL",16:00:00,16:15:00,15
"553",2013,"AA",16:00:00,16:50:00,50
"554",2013,"AA",16:00:00,16:45:00,45
"555",2013,"DL",16:00:00,16:45:00,45
"556",2013,"AA",15:00:00,15:00:00,0
"557",2013,"DL",16:00:00,16:55:00,55
"558",2013,"9E",14:00:00,14:55:00,55
"559",2013,"DL",17:00:00,17:00:00,0
"560",2013,"B6",15:00:00,15:55:00,55
"561",2013,"B6",16:00:00,16:00:00,0
"562",2013,"9E",16:00:00,16:59:00,59
"563",2013,"MQ",17:00:00,17:00:00,0
"564",2013,"AA",16:00:00,16:40:00,40
"565",2013,"VX",16:00:00,16:55:00,55
"566",2013,"DL",17:00:00,17:00:00,0
"567",2013,"B6",16:00:00,16:55:00,55
"568",2013,"UA",16:00:00,16:59:00,59
"569",2013,"DL",17:00:00,17:00:00,0
"570",2013,"AA",17:00:00,17:00:00,0
"571",2013,"B6",14:00:00,14:59:00,59
"572",2013,"MQ",17:00:00,17:05:00,5
"573",2013,"B6",16:00:00,16:55:00,55
"574",2013,"UA",16:00:00,16:50:00,50
"575",2013,"UA",17:00:00,17:00:00,0
"576",2013,"B6",17:00:00,17:06:00,6
"577",2013,"DL",17:00:00,17:00:00,0
"578",2013,"B6",17:00:00,17:05:00,5
"579",2013,"EV",15:00:00,15:09:00,9
"580",2013,"AA",17:00:00,17:00:00,0
"581",2013,"UA",17:00:00,17:10:00,10
